year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2024,2024-01-01,2024-12-31,country,IN,India,cac_total,cases,none,,187702,cases,NCRB,1,2024-12-31,2026-09-24,"Ch. 4 Crime Against Children — table ID to confirm from PDF",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,cac_rate,rate_per_lakh_children,none,,42.3,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-24,"Ch. 4 Crime Against Children — table ID to confirm from PDF",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_total,cases,none,,69191,cases,NCRB,1,2024-12-31,2026-09-24,"Ch. 4 Crime Against Children — table ID to confirm from PDF",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,total,44126,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,known_total,42634,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,friends_online_partners,22308,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,family_friends_neighbours_known,16668,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,family_members,3658,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2024,2024-01-01,2024-12-31,country,IN,India,pocso_relationship,cases,relationship,unknown,1492,cases,NCRB,1,2024-12-31,2026-09-24,"Offenders' relation to victims under POCSO (Sec 4 & 6) — table ID to confirm",Crime in India 2024,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2023,2023-01-01,2023-12-31,country,IN,India,pocso_victims_age,victims,age_band,lt6,762,victims,NCRB,1,2023-12-31,2026-09-24,"Victims of POCSO by age group — table ID to confirm",Crime in India 2023,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2023,2023-01-01,2023-12-31,country,IN,India,pocso_victims_age,victims,age_band,6_12,3229,victims,NCRB,1,2023-12-31,2026-09-24,"Victims of POCSO by age group — table ID to confirm",Crime in India 2023,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2023,2023-01-01,2023-12-31,country,IN,India,pocso_victims_age,victims,age_band,12_16,15444,victims,NCRB,1,2023-12-31,2026-09-24,"Victims of POCSO by age group — table ID to confirm",Crime in India 2023,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
2023,2023-01-01,2023-12-31,country,IN,India,pocso_victims_age,victims,age_band,16_18,21411,victims,NCRB,1,2023-12-31,2026-09-24,"Victims of POCSO by age group — table ID to confirm",Crime in India 2023,https://ncrb.gov.in/en/crime-india,Hand-entered from the published edition; superseded automatically once the raw NCRB table is parsed (pipeline/config/tables.yaml)
