state_ut,pocso_total_I,pocso_total_V,pocso_total_R,s4_6_total_I,s4_6_total_V,s4_6_total_R,s4_6_girls_I,s4_6_girls_V,s4_6_girls_R,s4_6_boys_I,s4_6_boys_V,s4_6_boys_R
Andhra Pradesh,2136,2358,14.1,1002,1205,6.6,1001,1204,6.6,1,1,0.0
Arunachal Pradesh,47,58,8.0,28,28,4.7,28,28,4.7,0,0,0.0
Assam,1703,1804,14.1,1257,1307,10.4,1257,1307,10.4,0,0,0.0
Bihar,2137,2139,4.5,749,749,1.6,749,749,1.6,0,0,0.0
Chhattisgarh,2366,2383,24.3,1809,1815,18.6,1809,1815,18.6,0,0,0.0
Goa,4,4,1.0,1,1,0.3,0,0,0.0,1,1,0.3
Gujarat,2499,2512,11.9,2131,2140,10.2,2127,2136,10.2,4,4,0.0
Haryana,2209,2225,24.2,1331,1340,14.6,1264,1272,13.9,67,68,0.7
Himachal Pradesh,9,10,0.4,0,0,0.0,0,0,0.0,0,0,0.0
Jharkhand,884,884,6.4,570,570,4.1,570,570,4.1,0,0,0.0
Karnataka,3155,3239,16.3,2299,2326,11.9,2294,2321,11.9,5,5,0.0
Kerala,3334,3382,35.4,1812,1846,19.3,1704,1731,18.1,108,115,1.1
Madhya Pradesh,5996,6012,20.8,3646,3658,12.7,3641,3653,12.7,5,5,0.0
Maharashtra,7572,7781,21.0,4182,4260,11.6,4180,4258,11.6,2,2,0.0
Manipur,55,55,5.3,45,45,4.4,44,44,4.3,1,1,0.1
Meghalaya,371,392,26.9,278,299,20.1,272,292,19.7,6,7,0.4
Mizoram,98,102,23.2,63,65,14.9,62,64,14.7,1,1,0.2
Nagaland,26,27,3.2,21,22,2.6,20,21,2.4,1,1,0.1
Odisha,2423,2423,16.8,1720,1720,11.9,1720,1720,11.9,0,0,0.0
Punjab,883,884,10.1,630,630,7.2,630,630,7.2,0,0,0.0
Rajasthan,3731,3734,13.3,1694,1694,6.0,1694,1694,6.0,0,0,0.0
Sikkim,103,108,50.0,73,74,35.5,73,74,35.5,0,0,0.0
Tamil Nadu,4968,5106,24.0,3620,3676,17.5,3573,3621,17.3,47,55,0.2
Telangana,2726,2752,24.0,1753,1754,15.4,1753,1754,15.4,0,0,0.0
Tripura,120,120,9.8,78,78,6.4,78,78,6.4,0,0,0.0
Uttar Pradesh,8136,8151,9.5,3448,3454,4.0,3344,3350,3.9,104,104,0.1
Uttarakhand,851,853,22.4,646,648,17.0,637,639,16.8,9,9,0.2
West Bengal,2761,2820,9.2,1698,1699,5.7,1670,1671,5.6,28,28,0.1
TOTAL STATE(S),61303,62318,14.2,36584,37103,8.5,36194,36696,8.4,390,407,0.1
A&N Islands,109,109,97.1,82,82,73.0,81,81,72.1,1,1,0.9
Chandigarh,1,1,0.3,1,1,0.3,0,0,0.0,1,1,0.3
D&N Haveli and Daman & Diu,55,65,28.6,43,43,22.4,43,43,22.4,0,0,0.0
Delhi,1512,1530,27.3,892,901,16.1,890,899,16.1,2,2,0.0
Jammu & Kashmir,316,318,6.4,238,240,4.8,237,239,4.8,1,1,0.0
Ladakh,2,2,2.4,0,0,0.0,0,0,0.0,0,0,0.0
Lakshadweep,11,11,55.3,5,5,25.1,5,5,25.1,0,0,0.0
Puducherry,105,115,29.3,62,69,17.3,61,67,17.0,1,2,0.3
TOTAL UT(S),2111,2151,18.3,1323,1341,11.5,1317,1334,11.4,6,7,0.1
TOTAL ALL INDIA,63414,64469,14.3,37907,38444,8.5,37511,38030,8.4,396,414,0.1
