state_ut,16_18_boys,16_18_girls,16_18_trans,16_18_total,all_boys,all_girls,all_trans,all_total
Andhra Pradesh,0,569,0,569,1,1204,0,1205
Arunachal Pradesh,0,4,0,4,0,28,0,28
Assam,0,570,0,570,0,1307,0,1307
Bihar,0,399,0,399,0,749,0,749
Chhattisgarh,0,993,0,993,0,1815,0,1815
Goa,0,0,0,0,1,0,0,1
Gujarat,1,1127,0,1128,4,2136,0,2140
Haryana,14,597,0,611,68,1272,0,1340
Himachal Pradesh,0,0,0,0,0,0,0,0
Jharkhand,0,320,0,320,0,570,0,570
Karnataka,1,1306,0,1307,5,2321,0,2326
Kerala,16,828,0,844,115,1731,0,1846
Madhya Pradesh,0,1861,0,1861,5,3653,0,3658
Maharashtra,2,2192,0,2194,2,4258,0,4260
Manipur,0,14,0,14,1,44,0,45
Meghalaya,0,112,0,112,7,292,0,299
Mizoram,0,8,0,8,1,64,0,65
Nagaland,0,2,0,2,1,21,0,22
Odisha,0,1672,0,1672,0,1720,0,1720
Punjab,0,295,0,295,0,630,0,630
Rajasthan,0,1021,0,1021,0,1694,0,1694
Sikkim,0,18,0,18,0,74,0,74
Tamil Nadu,12,1990,0,2002,55,3621,0,3676
Telangana,0,964,0,964,0,1754,0,1754
Tripura,0,17,0,17,0,78,0,78
Uttar Pradesh,13,1199,0,1212,104,3350,0,3454
Uttarakhand,0,287,0,287,9,639,0,648
West Bengal,0,554,0,554,28,1671,0,1699
TOTAL STATE(S),59,18919,0,18978,407,36696,0,37103
A&N Islands,0,44,0,44,1,81,0,82
Chandigarh,0,0,0,0,1,0,0,1
D&N Haveli and Daman & Diu,0,29,0,29,0,43,0,43
Delhi,1,418,0,419,2,899,0,901
Jammu & Kashmir,0,60,0,60,1,239,0,240
Ladakh,0,0,0,0,0,0,0,0
Lakshadweep,0,4,0,4,0,5,0,5
Puducherry,0,49,0,49,2,67,0,69
TOTAL UT(S),1,604,0,605,7,1334,0,1341
TOTAL ALL INDIA,60,19523,0,19583,414,38030,0,38444
