state_ut,cac_2021,cac_2022,cac_2023,child_population_lakh_2011,cac_rate_2023,chargesheeting_rate_2023
Andhra Pradesh,2669,3308,2844,151.1,18.8,91.3
Arunachal Pradesh,162,143,176,5.9,29.9,70.0
Assam,5282,4084,10174,120.8,84.2,82.9
Bihar,6894,8122,9906,475.0,20.9,72.5
Chhattisgarh,6001,6177,5904,97.5,60.6,63.2
Goa,151,184,196,3.8,51.3,65.9
Gujarat,4515,4964,5083,209.2,24.3,72.9
Haryana,5700,6138,6401,91.2,70.2,39.6
Himachal Pradesh,740,740,704,21.5,32.7,47.6
Jharkhand,1867,1917,1626,138.4,11.8,84.9
Karnataka,7261,7988,8929,193.5,46.1,59.4
Kerala,4536,5640,5903,94.1,62.8,90.5
Madhya Pradesh,19173,20415,22393,287.6,77.9,60.7
Maharashtra,17261,20762,22390,361.1,62.0,51.8
Manipur,143,120,85,10.3,8.2,84.7
Meghalaya,481,496,512,13.8,37.1,76.2
Mizoram,122,135,146,4.2,34.6,94.4
Nagaland,51,35,26,8.2,3.2,68.8
Odisha,7899,8240,8577,144.1,59.5,41.5
Punjab,2556,2494,2462,87.4,28.2,66.9
Rajasthan,7653,9370,10577,281.4,37.6,50.0
Sikkim,149,159,139,2.1,67.5,64.4
Tamil Nadu,6064,6580,6968,206.6,33.7,93.7
Telangana,5667,5657,6113,113.8,53.7,72.6
Tripura,236,220,255,12.3,20.8,86.4
Uttar Pradesh,16838,18682,18852,853.3,22.1,72.7
Uttarakhand,1245,1706,1710,38.0,45.0,58.9
West Bengal,9523,8950,8853,300.0,29.5,85.7
TOTAL STATE(S),140839,153426,167904,4326.1,38.8,66.1
A&N Islands,124,146,161,1.1,143.4,87.7
Chandigarh,234,224,294,3.2,90.7,40.7
D&N Haveli and Daman & Diu,104,107,123,1.9,64.0,56.9
Delhi,7118,7468,7769,55.4,140.3,31.7
Jammu & Kashmir,845,920,910,49.1,18.5,48.2
Ladakh,1,8,7,0.8,8.3,62.5
Lakshadweep,17,11,11,0.2,55.3,63.6
Puducherry,122,139,156,3.6,43.5,91.3
TOTAL UT(S),8565,9023,9431,115.4,81.7,35.5
TOTAL ALL INDIA,149404,162449,177335,4441.5,39.9,64.3
