state_ut,lt6_boys,lt6_girls,lt6_trans,lt6_total,6_12_boys,6_12_girls,6_12_trans,6_12_total,12_16_boys,12_16_girls,12_16_trans,12_16_total
Andhra Pradesh,0,10,0,10,2,61,0,63,1,316,0,317
Arunachal Pradesh,0,2,0,2,0,8,0,8,1,22,0,23
Assam,0,14,0,14,0,140,0,140,6,771,0,777
Bihar,0,6,0,6,0,91,0,91,0,329,0,329
Chhattisgarh,0,28,0,28,0,93,0,93,0,561,0,561
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,13,0,13,0,87,0,87,0,1005,0,1005
Haryana,4,32,0,36,33,82,0,115,29,573,0,602
Himachal Pradesh,0,0,0,0,1,0,0,1,0,0,0,0
Jharkhand,0,0,0,0,0,35,0,35,0,151,0,151
Karnataka,0,13,0,13,2,91,0,93,0,973,0,973
Kerala,6,57,0,63,21,210,0,231,38,659,0,697
Madhya Pradesh,0,62,0,62,0,246,0,246,2,1565,0,1567
Maharashtra,4,86,0,90,1,239,0,240,0,1514,0,1514
Manipur,0,3,0,3,0,8,0,8,0,29,0,29
Meghalaya,0,15,0,15,10,111,0,121,14,153,0,167
Mizoram,0,4,0,4,1,25,0,26,1,35,0,36
Nagaland,0,1,0,1,0,0,0,0,1,5,0,6
Odisha,0,0,0,0,0,0,0,0,0,756,0,756
Punjab,0,13,0,13,0,54,0,54,0,258,0,258
Rajasthan,0,11,0,11,2,94,0,96,0,576,0,576
Sikkim,0,3,0,3,0,9,0,9,0,35,0,35
Tamil Nadu,3,67,0,70,27,214,0,241,30,1376,0,1406
Telangana,0,30,0,30,1,108,0,109,0,554,0,554
Tripura,0,7,0,7,1,22,0,23,0,37,0,37
Uttar Pradesh,6,81,0,87,23,454,0,477,18,1548,0,1566
Uttarakhand,0,13,0,13,3,85,0,88,6,276,0,282
West Bengal,4,106,0,110,11,373,0,384,8,627,0,635
TOTAL STATE(S),27,677,0,704,139,2940,0,3079,155,14704,0,14859
A&N Islands,0,0,0,0,1,4,0,5,0,15,0,15
Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli and Daman & Diu,0,4,0,4,0,3,0,3,0,20,0,20
Delhi,1,52,0,53,1,118,0,119,0,439,0,439
Jammu & Kashmir,0,1,0,1,0,18,0,18,0,94,0,94
Ladakh,0,0,0,0,0,3,0,3,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,1,1,0,2
Puducherry,0,0,0,0,0,2,0,2,1,14,0,15
TOTAL UT(S),1,57,0,58,2,148,0,150,2,583,0,585
TOTAL ALL INDIA,28,734,0,762,141,3088,0,3229,157,15287,0,15444
