state_ut,known_total,family_members,family_friends_neighbours_known,friends_online_partners,unknown,total,known_share_pct
Andhra Pradesh,943,79,437,427,0,943,100.0
Arunachal Pradesh,23,3,17,3,0,23,100.0
Assam,1990,176,897,917,207,2197,90.6
Bihar,942,55,453,434,88,1030,91.5
Chhattisgarh,1743,77,376,1290,27,1770,98.5
Goa,0,0,0,0,0,0,-
Gujarat,2398,64,372,1962,51,2449,97.9
Haryana,1344,169,669,506,213,1557,86.3
Himachal Pradesh,15,1,14,0,0,15,100.0
Jharkhand,549,56,279,214,13,562,97.7
Karnataka,3256,442,1397,1417,22,3278,99.3
Kerala,2062,400,689,973,26,2088,98.8
Madhya Pradesh,3570,259,1293,2018,151,3721,95.9
Maharashtra,4760,308,1337,3115,69,4829,98.6
Manipur,46,9,27,10,4,50,92.0
Meghalaya,294,56,151,87,54,348,84.5
Mizoram,97,21,55,21,6,103,94.2
Nagaland,12,2,7,3,0,12,100.0
Odisha,1669,19,1631,19,117,1786,93.4
Punjab,556,45,205,306,2,558,99.6
Rajasthan,1600,170,722,708,26,1626,98.4
Sikkim,54,12,17,25,0,54,100.0
Tamil Nadu,5297,377,932,3988,23,5320,99.6
Telangana,2076,210,676,1190,2,2078,99.9
Tripura,116,7,40,69,0,116,100.0
Uttar Pradesh,3581,329,1595,1657,90,3671,97.5
Uttarakhand,631,51,434,146,0,631,100.0
West Bengal,1619,113,1306,200,237,1856,87.2
TOTAL STATE(S),41243,3510,16028,21705,1428,42671,96.7
A&N Islands,77,12,18,47,0,77,100.0
Chandigarh,2,1,0,1,0,2,100.0
D&N Haveli and Daman & Diu,23,1,6,16,0,23,100.0
Delhi,1002,119,474,409,36,1038,96.5
Jammu & Kashmir,200,11,120,69,28,228,87.7
Ladakh,4,1,1,2,0,4,100.0
Lakshadweep,1,0,1,0,0,1,100.0
Puducherry,82,3,20,59,0,82,100.0
TOTAL UT(S),1391,148,640,603,64,1455,95.6
TOTAL ALL INDIA,42634,3658,16668,22308,1492,44126,96.6
