row,crime_head,table,pdf_page,col,column_label,value
25,Protection of Children from Sexual Offences Act (total),4A.3,497,3,Cases pending investigation from previous year,20420
25,Protection of Children from Sexual Offences Act (total),4A.3,497,4,Cases reported during the year,69191
25,Protection of Children from Sexual Offences Act (total),4A.3,497,6,Total cases for investigation,89658
25,Protection of Children from Sexual Offences Act (total),4A.3,499,18,Cases chargesheeted (total),65113
25,Protection of Children from Sexual Offences Act (total),4A.3,500,22,Cases pending investigation at end of year,21256
25,Protection of Children from Sexual Offences Act (total),4A.3,500,23,Chargesheeting rate (%),95.3
25,Protection of Children from Sexual Offences Act (total),4A.3,500,24,Pendency % (police),23.7
25,Protection of Children from Sexual Offences Act (total),4A.5,509,3,Cases pending trial from previous year,262089
25,Protection of Children from Sexual Offences Act (total),4A.5,509,4,Cases sent for trial during the year,65113
25,Protection of Children from Sexual Offences Act (total),4A.5,509,5,Total cases for trial,327202
25,Protection of Children from Sexual Offences Act (total),4A.5,511,15,Cases convicted,12672
25,Protection of Children from Sexual Offences Act (total),4A.5,511,16,Cases discharged,1101
25,Protection of Children from Sexual Offences Act (total),4A.5,511,17,Cases acquitted,25476
25,Protection of Children from Sexual Offences Act (total),4A.5,512,18,Cases in which trials were completed,39249
25,Protection of Children from Sexual Offences Act (total),4A.5,512,19,Cases disposed off by courts,40299
25,Protection of Children from Sexual Offences Act (total),4A.5,512,20,Cases pending trial at end of year,286903
25,Protection of Children from Sexual Offences Act (total),4A.5,512,21,Conviction rate (%),32.3
25,Protection of Children from Sexual Offences Act (total),4A.5,512,22,Pendency % (court),87.7
