state_ut,chargesheeting_rate,pendency_pct_police
Andhra Pradesh,88.5,54.7
Arunachal Pradesh,73.7,49.7
Assam,81.9,20.2
Bihar,61.1,55.9
Chhattisgarh,55.7,21.0
Goa,58.8,28.4
Gujarat,77.9,9.1
Haryana,37.0,17.8
Himachal Pradesh,41.6,16.0
Jharkhand,89.0,57.7
Karnataka,55.4,16.6
Kerala,92.7,23.1
Madhya Pradesh,55.0,22.5
Maharashtra,52.6,46.4
Manipur,71.8,87.4
Meghalaya,71.5,62.6
Mizoram,96.3,25.2
Nagaland,87.2,37.1
Odisha,35.5,34.5
Punjab,68.5,55.7
Rajasthan,49.2,11.3
Sikkim,66.9,7.9
Tamil Nadu,93.6,43.2
Telangana,68.2,27.8
Tripura,89.2,29.7
Uttar Pradesh,70.5,9.2
Uttarakhand,56.1,14.9
West Bengal,77.2,36.9
TOTAL STATE(S),62.7,32.2
A&N Islands,89.1,9.3
Chandigarh,36.4,58.0
D&N Haveli and Daman & Diu,51.8,25.4
Delhi,31.7,51.3
Jammu & Kashmir,55.4,40.1
Ladakh,75.0,15.8
Lakshadweep,100.0,83.3
Puducherry,90.6,22.0
TOTAL UT(S),36.3,49.7
TOTAL ALL INDIA,61.4,33.4
