city,cac_2022,cac_2023,cac_2024,chargesheeting_rate_2024
Ahmedabad (Gujarat),829,832,942,82.9
Bengaluru (Karnataka),1578,1982,2026,37
Chennai (Tamil Nadu),514,573,719,96
Coimbatore (Tamil Nadu),83,193,243,96.2
Delhi City,7400,7731,7662,31.7
Ghaziabad (Uttar Pradesh),189,208,713,47.4
Hyderabad (Telangana),645,692,920,59.3
Indore (Madhya Pradesh),1082,1236,1157,46.3
Jaipur (Rajasthan),980,1099,863,33.9
Kanpur (Uttar Pradesh),437,426,379,79.2
Kochi (Kerala),206,230,267,91.1
Kolkata (West Bengal),602,297,468,99.6
Kozhikode (Kerala),265,250,245,86.7
Lucknow (Uttar Pradesh),398,844,880,59.9
Mumbai (Maharashtra),3178,3110,3374,52.3
Nagpur (Maharashtra),765,802,977,42.6
Patna (Bihar),127,144,653,72.7
Pune (Maharashtra),732,1234,1330,57.7
Surat (Gujarat),540,550,559,52.9
TOTAL CITIES,20550,22433,24377,49.6
