year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2022,2022-01-01,2022-12-31,aggregate,IN-STATES,Total (States),cac_police,chargesheeting_rate_pct,none,,65.2,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-STATES,Total (States),cac_police,chargesheeting_rate_pct,none,,66.1,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-STATES,Total (States),cac_police,chargesheeting_rate_pct,none,,62.7,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-STATES,Total (States),cac_police,pendency_pct,none,,32.2,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,aggregate,IN-UTS,Total (UTs),cac_police,chargesheeting_rate_pct,none,,37.2,percent,NCRB,1,2022-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-UTS,Total (UTs),cac_police,chargesheeting_rate_pct,none,,35.5,percent,NCRB,1,2023-12-31,2026-09-25,Table 4A.1 (PDF p. 369),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-UTS,Total (UTs),cac_police,chargesheeting_rate_pct,none,,36.3,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.1 (PDF p. 461),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-UTS,Total (UTs),cac_police,pendency_pct,none,,49.7,percent,NCRB,1,2024-12-31,2026-09-25,Table 4A.4 (PDF p. 504),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Ahmedabad,Ahmedabad,cac_police,chargesheeting_rate_pct,none,,82.9,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Bengaluru,Bengaluru,cac_police,chargesheeting_rate_pct,none,,37.0,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Chennai,Chennai,cac_police,chargesheeting_rate_pct,none,,96.0,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Coimbatore,Coimbatore,cac_police,chargesheeting_rate_pct,none,,96.2,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Delhi,Delhi,cac_police,chargesheeting_rate_pct,none,,31.7,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Ghaziabad,Ghaziabad,cac_police,chargesheeting_rate_pct,none,,47.4,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Hyderabad,Hyderabad,cac_police,chargesheeting_rate_pct,none,,59.3,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Indore,Indore,cac_police,chargesheeting_rate_pct,none,,46.3,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2024,2024-01-01,2024-12-31,city,CITY-Jaipur,Jaipur,cac_police,chargesheeting_rate_pct,none,,33.9,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4B.1 (NCRB Excel table, via OpenCity)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
