year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,acquitted,25476.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 17, PDF page 511."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,convicted,12672.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 15, PDF page 511."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,discharged,1101.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 16, PDF page 511."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,disposed,40299.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 19, PDF page 512."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,pending_trial_end_year,286903.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 20, PDF page 512."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,pending_trial_prev_year,262089.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 3, PDF page 509."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,sent_for_trial,65113.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 4, PDF page 509."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,total_for_trial,327202.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 5, PDF page 509."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,cases,stage,trials_completed,39249.0,cases,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 18, PDF page 512."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,conviction_rate_pct,none,,32.3,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 21, PDF page 512."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_court,pendency_pct,none,,87.7,percent,NCRB,1,2024-12-31,2026-09-25,"Table 4A.5 (row 25, POCSO Act total)",Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md. Column 22, PDF page 512."
