year,period_start,period_end,geo_level,geo_code,geo_name,dataset,metric,dimension,dimension_value,value,unit,source_org,tier,as_of_date,retrieved_on,source_table,source_edition,source_url,notes
2022,2022-01-01,2022-12-31,aggregate,IN-STATES,Total (States),pocso_rate,rate_per_lakh_children,none,,14.2,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-STATES,Total (States),pocso_rate,rate_per_lakh_children,none,,15.1,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-STATES,Total (States),pocso_rate,rate_per_lakh_children,none,,15.5,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,aggregate,IN-UTS,Total (UTs),pocso_rate,rate_per_lakh_children,none,,18.3,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,aggregate,IN-UTS,Total (UTs),pocso_rate,rate_per_lakh_children,none,,20.4,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,aggregate,IN-UTS,Total (UTs),pocso_rate,rate_per_lakh_children,none,,18.5,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,country,IN,India,pocso_rate,rate_per_lakh_children,none,,14.3,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,country,IN,India,pocso_rate,rate_per_lakh_children,none,,15.2,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,country,IN,India,pocso_rate,rate_per_lakh_children,none,,15.6,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AN,Andaman & Nicobar,pocso_rate,rate_per_lakh_children,none,,97.1,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AN,Andaman & Nicobar,pocso_rate,rate_per_lakh_children,none,,85.5,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AN,Andaman & Nicobar,pocso_rate,rate_per_lakh_children,none,,82.7,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AP,Andhra Pradesh,pocso_rate,rate_per_lakh_children,none,,14.1,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AP,Andhra Pradesh,pocso_rate,rate_per_lakh_children,none,,12.7,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AP,Andhra Pradesh,pocso_rate,rate_per_lakh_children,none,,11.8,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AR,Arunachal Pradesh,pocso_rate,rate_per_lakh_children,none,,8.0,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AR,Arunachal Pradesh,pocso_rate,rate_per_lakh_children,none,,9.7,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
2024,2024-01-01,2024-12-31,state,AR,Arunachal Pradesh,pocso_rate,rate_per_lakh_children,none,,5.1,rate_per_lakh_children,NCRB,1,2024-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 483),Crime in India 2024,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2024, Vol. I (PDF, SHA-256 75b827bdcfcd5e64…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2024) — see data/raw/ncrb/2024/PROVENANCE.md."
2022,2022-01-01,2022-12-31,state,AS,Assam,pocso_rate,rate_per_lakh_children,none,,14.1,rate_per_lakh_children,NCRB,1,2022-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2022,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2022, Vol. I (PDF, SHA-256 7c5ee3128b0b6bc7…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2022) — see data/raw/ncrb/2022/PROVENANCE.md."
2023,2023-01-01,2023-12-31,state,AS,Assam,pocso_rate,rate_per_lakh_children,none,,21.2,rate_per_lakh_children,NCRB,1,2023-12-31,2026-09-25,Table 4A.2 (ii) (PDF p. 379),Crime in India 2023,https://ncrb.gov.in/en/crime-india,"Extracted from NCRB Crime in India 2023, Vol. I (PDF, SHA-256 553ac8b2eadfe9e2…, copy retrieved via https://data.opencity.in/dataset/crime-in-india-2023) — see data/raw/ncrb/2023/PROVENANCE.md."
